topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
tariff_trade,GLD,signed_vol_tick,pre,-73287.25842696629,0.1152,89,0.1586086956521739,0.19542857142857142
tariff_trade,GLD,signed_vol_tick,post,-704869.0449438202,0.0884,89,0.12503225806451615,0.15770892018779345
tariff_trade,GLD,OFI_bvc,pre,-0.02720233016039305,0.0024,89,0.004549889135254988,0.007685393258426966
tariff_trade,GLD,OFI_bvc,post,-0.01081038466361264,0.2868,89,0.3503057142857143,0.39391807228915665
tariff_trade,GLD,vpin_z,pre,-0.40240976107878756,0.0004,89,0.0008571428571428572,0.0016703296703296704
tariff_trade,GLD,vpin_z,post,-0.3169491112717529,0.0468,89,0.06946875000000001,0.09151286449399658
tariff_trade,UUP,logret,pre,3.083508465908227e-05,0.028,84,0.042980251346499104,0.05846153846153847
tariff_trade,UUP,logret,post,5.998694934091626e-05,0.2312,84,0.29177269372693726,0.33575541401273884
tariff_trade,UUP,vol_z,pre,-0.09308497725172209,0.1352,84,0.18290506329113923,0.22208645533141208
tariff_trade,UUP,vol_z,post,0.15432112217628294,0.3892,84,0.45120813559322037,0.49026298342541436
tariff_trade,UUP,dvol_z,pre,-0.09261904440797522,0.1556,84,0.20722429906542053,0.24843697478991594
tariff_trade,UUP,dvol_z,post,0.1582924398182318,0.3688,84,0.43195068493150685,0.47237710437710434
tariff_trade,UUP,signed_vol_tick,pre,9581.77380952381,0.1936,84,0.24910158013544018,0.2907826086956522
